gene,mean,variance,dispersion=variance/mean
HMGB2,0.6004552038071591,7.294119387244283,12.147649551533984
VCAN,0.6671839437202566,7.984515905953659,11.967488098456824
CCNB2,0.006517690875232775,0.0778594439762943,11.945863261505725
RPS24,11.195530726256983,133.73457965315274,11.945354170615937
RPL11,15.976722532588454,188.7727873546278,11.815488875742775
RPS6,15.109766190771778,174.95019015845136,11.578616634405726
RPS13,12.373267121870473,142.52526921418283,11.518806456724844
HLA-B,17.65270018621974,203.30882624923854,11.517151716423978
RGS18,0.12280157252224291,1.410224967247682,11.483769615346331
S100A6,4.997413614732051,56.39281350510742,11.284399862133698
RPL18A,15.6731843575419,176.31704835355623,11.249599591975251
RPS29,17.678667494309952,198.54251409448858,11.230626638483438
RPS8,11.747568797848128,131.43472665701938,11.188249153398877
